beer	BAscore	Brewery	beer_name	Type	ABV	Total oz.	max pour for 30 ppl	pour
1	4.17	Mayflower	Porter	Porter	5.2	72	2.4	2
2	4.14	Night Shift	Awake	Porter Aged With Coffee	6.7	64	2.1	2
3	3.99	Left Hand	Sweet Stout	Milk Stout	6	72	2.4	2
4	3.96	Mother Earth	Sin Tax	Imperial Peanut Butter Stout	8.1	72	2.4	2
5	4.09	Dogfish Head	Indian Brown	Dark IPA	7.2	72	2.4	2
6	2.5	Guinness	Kaliber	non-alchoholic 	0.1	72	2.4	2
7	3.97	Spencer	Trappist Imperial Stout	Imperial Stout	8.7	69.6	2.3	2
8	3.54	Rogue	Rooster Sauce	Sriracha Hot Stout	5.7	50.8	1.7	1.5
9	4.17	Mayflower	Porter	Porter	5.2	72	2.4	2
10	4.18	Atlantic Brewing	Cadillac Mountain Stout	Stout	6.7	72	2.4	2
11	3.96	Mikkeller	Black Mosaic	Black IPA	6.9	48	1.6	1.5
12	4.29	Evil Twin	Even More Jesus	Imperial Stout	12	64	2.1	2
